16.52	16.53	16.15	16.02	16.4	16.4	16.41	16.4	16.15	15.92	15.51	15.37	15.56	15.55	15.51	15.61	15.66	15.84	15.88	16.15	16.17	16.37	16.57	16.95	17.06	17.62	17.82
16.63	16.42	16.32	16.24	15.99	16.03	15.97	15.97	15.75	15.69	15.58	15.39	15.28	15.24	15.37	15.38	15.48	15.55	15.55	15.85	15.97	16.09	16.52	16.75	17.23	17.39	17.89
16.44	16.25	16.07	15.82	15.84	15.78	15.61	15.56	15.49	15.34	15.13	14.97	15.07	15.06	15.08	15	15.04	15.21	15.39	15.53	15.73	15.95	16.31	16.67	16.82	17.39	17.86
15.88	15.99	15.88	15.54	15.4	15.41	15.32	15.18	15.04	14.94	14.78	14.65	14.42	14.69	14.67	14.75	14.82	14.87	15	15.29	15.51	15.77	16.05	16.51	16.71	17.27	17.55
16	15.67	15.58	15.39	15.15	14.99	14.94	14.84	14.67	14.38	14.51	14.22	14.35	14.36	14.45	14.43	14.56	14.28	14.68	14.6	15.23	15.42	15.52	16.28	16.7	17.05	17.74
15.68	15.46	15.27	15.04	14.83	14.64	14.49	14.12	14.21	14.1	14.03	13.95	13.9	13.98	14.01	14.01	14.15	14.21	14.41	14.68	14.9	15.24	15.59	15.97	16.41	16.99	17.79
15.48	15.19	14.95	14.57	14.37	14.28	14.09	13.95	13.77	13.71	13.61	13.55	13.54	13.45	13.55	13.68	13.74	13.93	13.81	14.15	14.54	14.91	15.19	15.57	16.22	16.73	17.37
15.12	14.86	14.59	14.29	14.08	13.84	13.67	13.54	13.35	13.28	13.19	13.09	13.07	13.09	13.16	13.19	13.32	13.41	13.67	13.9	14.18	14.5	14.82	15.27	15.83	16.26	16.91
14.79	14.47	14.21	13.91	13.67	13.39	13.21	13.05	12.85	12.78	12.64	12.45	12.53	12.52	12.54	12.7	12.81	12.97	13.16	13.45	13.75	14.02	14.49	14.87	15.37	15.92	16.31
14.51	14.18	13.88	13.49	13.22	12.96	12.65	12.69	12.54	12.31	12.21	12.15	12.06	12.04	12.06	12.17	12.31	12.5	12.74	12.96	13.31	13.7	14.1	14.53	15.05	15.55	16.06
14.09	13.91	13.49	13.08	12.71	12.47	12.1	11.96	11.79	11.62	11.55	11.34	11.43	11.45	11.53	11.65	11.82	11.99	12.22	12.47	12.79	13.22	13.63	14.13	14.65	15.21	15.72
14.12	13.66	13.12	12.63	12.28	11.96	11.67	11.38	11.25	11	10.99	10.89	10.86	10.89	10.98	11.12	11.24	11.34	11.71	12	12.28	12.77	13.19	13.67	14.22	14.82	15.26
14.09	13.29	12.67	12.13	11.66	11.33	11.07	10.81	10.61	10.46	10.34	10.23	10.22	10.19	10.33	10.45	10.61	10.72	11.08	11.43	11.75	12.23	12.68	13.01	13.75	14.28	14.94
14.12	12.86	12.12	11.46	11.1	10.67	10.39	10.18	9.96	9.79	9.65	9.57	9.54	9.52	9.63	9.72	9.93	10.12	10.37	10.74	11.02	11.6	12.09	12.61	13.22	13.84	14.51
13.35	12.26	11.54	10.95	10.42	10.07	9.77	9.52	9.31	9.15	9.03	8.87	8.87	8.89	8.92	9.05	9.24	9.44	9.71	10.03	10.39	10.92	11.46	12.01	12.61	13.36	13.97
11.74	11.44	10.71	10.13	9.66	9.26	9.03	8.79	8.57	8.36	8.3	8.17	8.14	8.13	8.19	8.26	8.43	8.67	8.93	9.26	9.69	10.26	10.84	11.47	12.05	12.83	13.53
11.33	10.37	9.82	9.25	8.85	8.52	8.31	8.01	7.86	7.69	7.55	7.36	7.38	7.37	7.39	7.51	7.65	7.93	8.15	8.49	8.93	9.52	10.12	10.84	11.51	12.37	13.15
10.04	9.41	8.81	8.21	7.96	7.74	7.51	7.25	7.01	6.91	6.79	6.63	6.51	6.51	6.61	6.72	6.86	7.12	7.26	7.66	8.08	8.76	9.46	10.13	10.87	11.71	12.66
9.19	8.23	7.64	7.03	6.94	6.88	6.78	6.51	6.07	6.15	6.09	5.87	5.66	5.7	5.71	5.89	6.11	6.29	6.42	6.67	7.18	7.88	8.7	9.39	10.16	11.09	12.13
